PTM Type,Count 2017,Count 2025,Pct 2017,Pct 2025
Disulfide bonds,5249,6006,78.30822019991048,74.56238361266294
Modified residues,1475,1876,22.005072355661646,23.289882060831783
Glycosylation,503,580,7.504102640608683,7.200496585971446
Lipidation,8,10,0.11934954497985976,0.12414649286157665
Cross-links,5,6,0.07459346561241235,0.07448789571694599
