ProteinFamily,2017_Terrestrial,2017_Marine,2025_Terrestrial,2025_Marine
Actinoporin family,0,34,7,41
CRISP family,109,6,135,6
EGF domain peptide family,0,0,8,3
FARP (FMRFamide related peptide) family,0,3,5,9
Ficolin lectin family,1,4,1,4
Flavin monoamine oxidase family,52,1,56,1
Glycosyl hydrolase 56 family,20,3,22,3
NPY family,1,4,1,4
Nemertide family,0,0,1,11
Opioid neuropeptide precursor family,0,1,1,1
Peptidase M12A family,5,1,0,0
Peptidase S1 family,214,1,230,2
Phospholipase A2 family,472,31,509,34
Snake three-finger toxin family,460,47,489,47
True venom lectin family,42,4,42,5
Venom Kunitz-type family,204,32,213,48
Venom metalloproteinase (M12B) family,269,1,285,1
