Old_Family_Name_2017,New_Family_Name_2025,Entries_Supporting_Rename,Old_Family_Global_Count_2017,New_Family_Global_Count_2025
Huwentoxin-1 family,Neurotoxin 10 (Hwtx-1) family,260,263,290
Spider toxin CSTX superfamily,Neurotoxin 19 (CSTX) family,123,128,185
Magi-1 superfamily,Neurotoxin 14 (magi-1) family,85,85,96
Huwentoxin-2 family,Neurotoxin 12 (Hwtx-2) family,83,83,85
Cupiennin family,Cationic peptide 04 (cupiennin) family,43,43,52
Snake waprin family,Venom waprin family,34,34,36
Omega-agatoxin superfamily,Neurotoxin 04 (omega-agtx) family,29,31,30
Plectoxin superfamily,Neurotoxin 02 (plectoxin) family,29,30,42
Shiva superfamily,Neurotoxin 08 (Shiva) family,29,36,30
Spider toxin Tx2 family,Neurotoxin 03 (Tx2) family,28,28,42
U8-lycotoxin family,Neurotoxin 19 (CSTX) family,28,28,185
Beta/delta-agatoxin family,Neurotoxin 07 (Beta/delta-agtx) family,27,27,32
U2-agatoxin family,Neurotoxin 01 (U2-agtx) family,24,24,28
Contryphan family,Conotoxin O2 superfamily,22,22,105
Cytoinsectotoxin family,Cationic peptide 06 (cytoinsectotoxin) family,20,20,20
Spider wap-1 family,Venom protein 11 family,18,18,23
Phrixotoxin family,Neurotoxin 30 (phrixotoxin) family,13,13,18
Latarcin superfamily,Cationic peptide 03 (latarcin) family,11,11,11
U7-lycotoxin family,Neurotoxin 19 (CSTX) family,11,11,185
Bradykinin-related peptide family,Frog skin active peptide (FSAP) family,10,82,12
Latrotoxin superfamily,Cationic peptide 01 (latrotoxin) family,10,10,13
Natriuretic peptide family,Bradykinin-potentiating peptide family,10,58,70
Spider agouti family,Neurotoxin 05 (agouti) family,10,10,10
Spider toxin SFI family,Neurotoxin 16 (SFI) family,10,10,10
U6-lycotoxin family,Neurotoxin 19 (CSTX) family,10,10,185
Spider toxin Tx3-6 family,Neurotoxin 09 (Tx3-6) family,8,8,9
Delta-atracotoxin family,Neurotoxin 06 (delta-actx) family,7,7,8
Omega-lycotoxin family,Neurotoxin omega-lctx family,7,7,8
Shiva superfamily,Neurotoxin 11 (kappa toxin) family,7,36,7
Pilosulin family,Formicidae venom precursor-01 superfamily,6,6,42
Scorpion calcine family,Scorpion calcin family,6,6,9
Spider neurotoxin 21C2 family,Neurotoxin 17 (21C2) family,6,6,6
U11-lycotoxin family,Neurotoxin 19 (CSTX) family,6,6,185
U12-lycotoxin family,Neurotoxin 31 family,6,6,6
Insecticidal toxin ABC family,Neurotoxin 13 (insecticidal toxin ABC) family,5,5,7
Lipo-B family,Long (3 C-C) scorpion toxin superfamily,5,5,50
Omega-atracotoxin type 2 family,Neurotoxin 15 family,5,5,9
Scolopendra toxin 10 family,CRISP family,5,5,141
U10-lycotoxin family,Neurotoxin 19 (CSTX) family,5,5,185
Aptotoxin family,Neurotoxin 21 family,4,4,11
Conotoxin L superfamily,Conotoxin R superfamily,4,12,9
Oxyopinin-2 family,Cationic peptide 02 (oxyopinin-2) family,4,4,7
Spider wap-2 family,Venom protein 11 family,4,4,23
Assassin bug toxin family,Venom Ptu1-like knottin family,3,3,11
Conotoxin A superfamily,Conotoxin K superfamily,3,151,5
Insecticidal toxin DTX family,Neurotoxin 26 (DTX) family,3,3,3
JZTX-72 family,Neurotoxin 27 (Jztx-72) family,3,3,8
Litx family,Neurotoxin 28 (Litx) family,3,3,3
Magi-5 family,Neurotoxin 15 family,3,3,9
Spider toxin CSTX superfamily,Spider toxin CSTX family,3,128,3
HWTX-LSTX family,Neurotoxin 25 family,2,2,18
Spider LiTx3-related peptide family,Neurotoxin 39 family,2,2,2
Spider toxin CSTX superfamily,Neurotoxin 02 (plectoxin) family,2,128,42
ARMT1 family,Damage-control phosphatase family,1,1,1
Bradykinin- potentiating peptide family,Bradykinin-potentiating peptide family,1,1,70
Conotoxin T family,Conotoxin T superfamily,1,1,147
Helical arthropod-neuropeptide-derived (HAND) family,Scoloptoxin-03 family,1,4,9
Huwentoxin-1 family,Neurotoxin 03 (Tx2) family,1,263,42
Huwentoxin-1 family,Neurotoxin 23 family,1,263,1
Huwentoxin-1 family,Neurotoxin 30 (phrixotoxin) family,1,263,18
Long (3 C-C) scorpion toxin superfamily,Long (4 C-C) scorpion toxin superfamily,1,35,426
Omega-agatoxin superfamily,Neurotoxin 09 (Tx3-6) family,1,31,9
Omega-agatoxin superfamily,Neurotoxin 37 family,1,31,2
PHpG family,Natriuretic peptide family,1,6,49
To aptotoxin III,Neurotoxin 14 (magi-1) family,1,1,96
